0.000000e+00 1.513867e-18 1.513867e-18 -3.027733e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.603475e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.123364e-09,3.409058e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.565104e-18 1.565104e-18 -3.130208e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.663048e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.159025e-09,3.409093e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.618063e-18 1.618063e-18 -3.236126e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.724381e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.195552e-09,3.409495e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.672801e-18 1.672801e-18 -3.345602e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.786818e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.232360e-09,3.409469e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.729378e-18 1.729378e-18 -3.458755e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.850357e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.269431e-09,3.409002e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.787854e-18 1.787854e-18 -3.575708e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.916288e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.307860e-09,3.409478e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.848295e-18 1.848295e-18 -3.696589e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-3.983311e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.346508e-09,3.409432e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.910765e-18 1.910765e-18 -3.821529e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-4.051417e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.385357e-09,3.408855e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 1.975332e-18 1.975332e-18 -3.950664e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-4.121902e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.425486e-09,3.409047e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
0.000000e+00 2.042068e-18 2.042068e-18 -4.084136e-18 (1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00) (0.000000e+00,-4.919004e-12,1.000000e+00,0.000000e+00) (0.000000e+00,-2.466315e-09,6.818552e-08,1.000000e+00) (0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00)
